episode,reward,td_error,epsilon,hops,delay_ms,dropped,avg_util
290,0.29999999999999993,0.18448644621103633,0.9933531250142591,2,7.0,0.0,0.01076923076923077
291,0.4,0.23011937222291104,0.9933407578191767,3,6.0,0.0,0.019230769230769232
292,-1.5,0.17569776460612005,0.9933119016294236,7,25.0,0.0,0.030769230769230767
293,-3.0999999999999996,0.26485970149910687,0.9932789241532904,8,21.0,0.0,0.046538461538461535
294,-3.8000000000000003,0.3253551468907654,0.9932459477719937,8,28.0,0.0,0.03461538461538461
295,0.49999999999999994,0.24272131130927999,0.9932377038477335,2,5.0,0.0,0.016153846153846154
296,0.6000000000000001,0.330377292,0.9932294599918976,2,4.0,0.0,0.006153846153846154
297,0.6000000000000001,0.38710483605,0.9932212162044856,2,4.0,0.0,0.006923076923076922
298,-1.1999999999999997,0.11583142986985633,0.9931923634873734,7,22.0,0.0,0.024230769230769236
299,-3.6999999999999997,0.25179265094716974,0.993159389979849,8,27.0,0.0,0.08461538461538462
300,1.1102230246251565e-16,0.2875730505888899,0.9931429036366034,4,10.0,0.0,0.025
301,-3.6,0.2561367557544549,0.9931099317711221,8,26.0,0.0,0.04615384615384616
302,-0.19999999999999996,0.21508333258792994,0.9930934462488774,4,12.0,0.0,0.011538461538461537
303,-0.5000000000000001,0.17018228879422215,0.9930728397309027,5,15.0,0.0,0.02769230769230769
304,-0.19999999999999996,0.15295430197426046,0.9930522336405095,5,12.0,0.0,0.01153846153846154
305,-3.7,0.30485842926016815,0.9930192647852283,8,27.0,0.0,0.024615384615384615
306,-1.1,0.19231171767528987,0.9929862970244975,8,21.0,0.0,0.033846153846153845
307,0.7,0.37200869999999997,0.9929821761313649,1,3.0,0.0,0.005
308,-0.20000000000000018,0.156890546370109,0.9929615719222258,5,12.0,0.0,0.023076923076923075
309,-3.2,0.21114950663199517,0.99292860607687,8,22.0,0.0,0.057692307692307696
310,0.8,0.4251528,0.9929244854231547,1,2.0,0.0,0.0038461538461538464
